;;;;;;;
;;Sales - Con.;Sales - Con.;Sales - Con.;Sales - Con.;Sales - Con.;Sales - Con.
;;Sold as certified organic;Sold as certified organic;Sold as certified organic;Sold as conventional;Sold as conventional;Sold as conventional
;Crop and geographic area;Farms;Quantity;Dollars;Farms;Quantity;Dollars
;United States;26;(D);(D);2;(D);(D)
;Illinois;1;(D);(D);-;-;-
;Indiana;-;-;-;-;-;-
;Kansas;15;(D);(D);1;(D);(D)
;Maryland;-;-;-;-;-;-
;Missouri;4;(D);(D);1;(D);(D)
;New Jersey;-;-;-;-;-;-
;North Carolina;3;15627;120052;-;-;-
;North Dakota;2;(D);(D);-;-;-
;Ohio;-;-;-;-;-;-
;Wisconsin;1;(D);(D);-;-;-